Event,idade_media,idade_min,idade_max,altura_media,altura_min,altura_max,peso_media,peso_min,peso_max,total_atletas
"Wrestling Women's Heavyweight, Freestyle",25.84375,18.0,38.0,170.890625,158.0,180.0,73.296875,69.0,80.0,64
"Art Competitions Mixed Painting, Drawings And Water Colors",43.77777777777778,20.0,66.0,,,,,,,63
"Fencing Men's Foil, Masters, Individual",31.79310344827586,18.0,46.0,169.0,168.0,170.0,,,,63
"Shooting Mixed Free Rifle, Three Positions, 300 metres",29.714285714285715,20.0,54.0,175.15873015873015,157.0,187.0,73.7936507936508,51.0,99.0,63
"Shooting Men's Free Rifle, Prone, 600 metres",37.355555555555554,25.0,56.0,173.57142857142858,168.0,185.0,,,,61
Weightlifting Women's Middleweight,24.508196721311474,17.0,38.0,161.15,150.0,175.0,63.057377049180324,58.0,71.0,61
Lacrosse Men's Lacrosse,26.86111111111111,14.0,37.0,174.0,168.0,180.0,76.71428571428571,60.0,98.0,60
Ice Hockey Men's Ice Hockey,26.61111111111111,18.0,46.0,175.15,165.0,190.0,74.0,58.0,99.0,60
Art Competitions Mixed Literature,42.146341463414636,26.0,59.0,177.5,172.0,183.0,83.5,76.0,91.0,59
Weightlifting Women's Featherweight,24.275862068965516,17.0,35.0,155.60344827586206,147.0,190.0,53.0,48.0,58.0,58
"Canoeing Women's Kayak Singles, 200 metres",27.614035087719298,17.0,37.0,169.05454545454546,153.0,181.0,65.41818181818182,56.0,78.0,57
"Art Competitions Mixed Painting, Graphic Arts",46.04081632653061,24.0,80.0,,,,,,,57
Cycling Men's Keirin,27.157894736842106,19.0,36.0,179.23214285714286,162.0,196.0,85.35714285714286,66.0,102.0,57
"Shooting Men's Trap, Team",42.794871794871796,20.0,65.0,174.66666666666666,167.0,180.0,,,,55
"Shooting Men's Running Target, Single Shot",39.98076923076923,23.0,72.0,169.0,169.0,169.0,,,,55
Cycling Men's Team Sprint,24.574074074074073,19.0,35.0,177.72222222222223,163.0,190.0,82.41509433962264,50.0,96.0,54
"Rowing Men's Coxed Fours, Outriggers",25.12962962962963,16.0,43.0,178.5,175.0,184.0,67.9090909090909,54.0,81.0,54
Art Competitions Mixed Music,43.241379310344826,17.0,68.0,169.5,166.0,173.0,66.0,66.0,66.0,52
"Athletics Men's Cross-Country, Individual",24.644444444444446,18.0,38.0,172.12,164.0,185.0,60.541666666666664,48.0,70.0,51
"Canoeing Men's Canadian Singles, 200 metres",25.34,18.0,36.0,182.68,168.0,196.0,85.02,66.0,109.0,50
"Art Competitions Mixed Architecture, Architectural Designs",43.81395348837209,25.0,64.0,176.0,176.0,176.0,75.0,75.0,75.0,49
Cycling Women's BMX,22.958333333333332,18.0,35.0,165.89583333333334,156.0,176.0,64.375,50.0,79.0,48
Sailing Men's One Person Heavyweight Dinghy,29.72340425531915,19.0,48.0,189.63829787234042,181.0,204.0,96.08510638297872,77.0,104.0,47
"Shooting Men's Running Target, 50 metres",27.41304347826087,19.0,47.0,177.7608695652174,166.0,191.0,77.8913043478261,57.0,116.0,46
"Shooting Men's Military Pistol, Team",37.0,24.0,59.0,174.0,168.0,183.0,,,,46
Canoeing Men's Kayak Relay 4 x 500 metres,24.82608695652174,19.0,34.0,177.65217391304347,165.0,192.0,74.78260869565217,58.0,98.0,46
Sailing Mixed Windsurfer,23.2,16.0,34.0,174.69230769230768,156.0,190.0,65.74358974358974,50.0,78.0,45
"Cycling Women's Individual Pursuit, 3,000 metres",26.34090909090909,19.0,39.0,169.65853658536585,156.0,182.0,61.80487804878049,51.0,73.0,44
"Art Competitions Mixed Painting, Applied Arts",40.34375,26.0,62.0,,,,,,,44
Judo Men's Open Class,26.15909090909091,19.0,37.0,185.95238095238096,173.0,204.0,107.1829268292683,72.0,140.0,44
"Shooting Men's Free Pistol, 50 yards",37.60606060606061,23.0,60.0,172.5,170.0,175.0,,,,43
Athletics Men's Pentathlon,24.0,18.0,32.0,182.75,172.0,190.0,79.84210526315789,61.0,100.0,43
"Canoeing Men's Kayak Singles, 200 metres",27.61904761904762,20.0,37.0,183.52380952380952,165.0,202.0,87.26190476190476,67.0,98.0,42
Table Tennis Women's Team,25.357142857142858,15.0,43.0,166.23809523809524,150.0,181.0,57.666666666666664,43.0,78.0,42
Table Tennis Men's Team,27.833333333333332,17.0,39.0,177.85714285714286,162.0,195.0,72.28571428571429,51.0,88.0,42
Athletics Men's 5 mile,24.147058823529413,19.0,30.0,171.06666666666666,165.0,187.0,62.733333333333334,52.0,83.0,42
Swimming Men's 4 x 100 metres Medley Relay,21.476190476190474,15.0,28.0,184.07692307692307,171.0,199.0,78.87179487179488,64.0,95.0,42
Sailing Mixed 10 metres,33.85,16.0,56.0,180.0,180.0,180.0,,,,42
Tennis Mixed Doubles,30.842105263157894,13.0,39.0,184.67857142857142,165.0,203.0,78.39285714285714,55.0,92.0,41
"Canoeing Men's Kayak Doubles, 200 metres",26.170731707317074,21.0,34.0,183.3658536585366,170.0,196.0,84.85365853658537,70.0,102.0,41
Cycling Men's Madison,28.0,19.0,42.0,179.5897435897436,170.0,193.0,73.41025641025641,62.0,85.0,40
Sailing Women's Skiff,25.075,18.0,33.0,168.875,152.0,183.0,64.07894736842105,53.0,74.0,40
"Canoeing Men's Kayak Singles, 10,000 metres",27.17948717948718,18.0,47.0,175.6,165.0,186.0,72.6,58.0,84.0,40
Swimming Women's 4 x 100 metres Medley Relay,20.487179487179485,15.0,31.0,171.02777777777777,160.0,189.0,59.885714285714286,49.0,75.0,39
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",35.45161290322581,21.0,45.0,169.0,168.0,170.0,,,,39
"Art Competitions Mixed Literature, Unknown Event",39.13333333333333,20.0,64.0,179.0,175.0,183.0,77.0,63.0,91.0,39
"Wrestling Men's Middleweight A, Greco-Roman",24.63888888888889,18.0,36.0,167.5,161.0,174.0,72.375,69.0,77.5,38
Diving Men's Plain High,24.071428571428573,13.0,39.0,175.0,175.0,175.0,,,,37
Diving Women's Plain High,21.02777777777778,15.0,30.0,161.0,152.0,175.0,,,,37
Athletics Men's Standing High Jump,23.88888888888889,17.0,34.0,183.88888888888889,167.0,190.0,77.83333333333333,59.0,88.0,36
Shooting Women's Double Trap,27.314285714285713,17.0,36.0,166.57575757575756,155.0,183.0,65.28787878787878,44.0,83.0,35
"Shooting Men's Military Rifle, Three Positions, 300 metres",36.285714285714285,18.0,59.0,173.0,173.0,173.0,,,,35
Rowing Women's Coxless Fours,24.228571428571428,18.0,32.0,178.93333333333334,170.0,188.0,73.6,65.0,85.0,35
"Shooting Men's Free Rifle, 1,000 Yards",37.64,24.0,60.0,171.0,171.0,171.0,,,,34
"Art Competitions Mixed Music, Compositions For Orchestra",38.51851851851852,22.0,54.0,,,,,,,34
"Fencing Men's epee, Masters, Individual",28.46153846153846,17.0,44.0,175.0,175.0,175.0,,,,33
Art Competitions Mixed Architecture,41.76923076923077,25.0,67.0,,,,,,,32
Cycling Women's Points Race,26.161290322580644,19.0,39.0,166.53333333333333,154.0,180.0,59.06666666666667,47.0,72.0,31
"Canoeing Men's Canadian Doubles, 10,000 metres",29.142857142857142,20.0,47.0,173.66666666666666,165.0,180.0,69.33333333333333,59.0,83.0,30
"Art Competitions Mixed Literature, Lyric Works",41.73684210526316,17.0,66.0,,,,,,,29
"Wrestling Men's Middleweight B, Greco-Roman",24.0,18.0,32.0,176.0,176.0,176.0,92.0,92.0,92.0,29
"Rowing Men's Coxed Fours, Inriggers",25.93103448275862,18.0,34.0,180.33333333333334,175.0,188.0,82.0,77.0,87.0,29
Rowing Men's 6-Man Naval Rowing Boats,,,,,,,,,,28
"Shooting Men's Free Pistol, 25 metres",36.0,21.0,54.0,172.66666666666666,168.0,175.0,,,,28
"Athletics Men's 3,000 metres, Team",22.925925925925927,17.0,30.0,173.46153846153845,165.0,182.0,62.166666666666664,54.0,73.0,28
Archery Men's Double York Round,44.94444444444444,18.0,66.0,,,,,,,28
Cycling Men's Omnium,25.923076923076923,20.0,38.0,178.8846153846154,169.0,191.0,72.96153846153847,58.0,85.0,26
Equestrianism Mixed Four-In-Hand Competition,40.27777777777778,20.0,69.0,,,,,,,26
"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",32.470588235294116,16.0,49.0,177.33333333333334,170.0,185.0,,,,26
Archery Women's Double National Round,39.89473684210526,22.0,54.0,,,,,,,25
"Shooting Men's Running Target, Single And Double Shot",39.78260869565217,22.0,60.0,,,,,,,25
Boxing Women's Lightweight,27.083333333333332,18.0,35.0,168.34782608695653,160.0,178.0,60.0,60.0,60.0,24
Cricket Men's Cricket,29.333333333333332,21.0,44.0,,,,,,,24
"Art Competitions Mixed Literature, Epic Works",40.78260869565217,26.0,66.0,,,,,,,24
Boxing Women's Middleweight,25.458333333333332,17.0,36.0,176.2608695652174,169.0,184.0,75.1,73.0,79.0,24
"Fencing Women's epee, Team",27.166666666666668,20.0,38.0,173.25,164.0,182.0,64.54166666666667,51.0,76.0,24
Boxing Women's Flyweight,27.375,18.0,34.0,162.08333333333334,150.0,170.0,50.95238095238095,50.0,51.0,24
Diving Women's Synchronized Platform,20.25,15.0,33.0,159.08333333333334,147.0,171.0,51.25,40.0,60.0,24
"Art Competitions Mixed Sculpturing, Medals And Reliefs",44.73913043478261,22.0,68.0,,,,,,,24
"Athletics Men's 3,500 metres Walk",25.736842105263158,19.0,35.0,176.4,173.0,184.0,68.2,58.0,76.0,24
Diving Women's Synchronized Springboard,22.91304347826087,15.0,30.0,163.65217391304347,158.0,172.0,57.0,50.0,62.0,23
Rowing Men's Coxed Pairs (1 kilometres),25.266666666666666,14.0,40.0,,,,79.0,79.0,79.0,23
"Athletics Men's 3,000 metres Walk",28.058823529411764,18.0,36.0,178.125,171.0,188.0,69.33333333333333,55.0,81.0,23
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",24.47826086956522,18.0,36.0,,,,,,,23
Archery Men's Double American Round,49.44444444444444,15.0,71.0,169.33333333333334,165.0,174.0,,,,22
Diving Men's Synchronized Springboard,24.681818181818183,18.0,37.0,172.27272727272728,160.0,183.0,70.4090909090909,59.0,82.0,22
Athletics Men's 60 metres,22.318181818181817,17.0,28.0,178.5,167.0,183.0,70.9,64.0,86.0,22
Athletics Men's Standing Long Jump,23.473684210526315,16.0,32.0,181.0,170.0,196.0,78.0,67.0,88.0,22
"Equestrianism Men's Jumping, Team",31.571428571428573,23.0,39.0,175.0,175.0,175.0,,,,22
Cycling Women's Omnium,27.5,19.0,43.0,169.1818181818182,160.0,178.0,61.36363636363637,51.0,78.0,22
"Archery Men's Target Archery, 28 metres, Team",41.23529411764706,25.0,61.0,,,,,,,21
"Swimming Men's 4,000 metres Freestyle",27.5,18.0,40.0,,,,,,,20
Gymnastics Men's Horse Vault,25.176470588235293,19.0,34.0,158.25,155.0,162.0,60.2,54.0,70.0,20
Cycling Men's 50 kilometres,24.11111111111111,19.0,32.0,,,,,,,19
"Wrestling Women's Featherweight, Freestyle",26.0,21.0,35.0,162.47368421052633,155.0,169.0,54.21052631578947,52.0,58.0,19
Figure Skating Men's Singles,32.666666666666664,23.0,44.0,,,,,,,18
"Wrestling Women's Light-Heavyweight, Freestyle",24.77777777777778,20.0,33.0,169.27777777777777,159.0,177.0,69.66666666666667,69.0,73.0,18
"Equestrianism Men's Vaulting, Individual",25.22222222222222,23.0,29.0,,,,,,,18
Gymnastics Men's Rope Climbing,22.285714285714285,21.0,25.0,174.0,167.0,188.0,72.33333333333333,56.0,102.0,18
"Art Competitions Mixed Sculpturing, Medals",47.1875,28.0,72.0,,,,,,,17
"Art Competitions Mixed Music, Unknown Event",35.38461538461539,23.0,53.0,,,,,,,17
"Weightlifting Men's Unlimited, One Hand",24.1,19.0,30.0,176.0,170.0,188.0,95.4,81.0,114.0,16
Figure Skating Mixed Pairs,32.333333333333336,21.0,45.0,169.5,165.0,174.0,65.5,58.0,73.0,16
"Canoeing Men's Canadian Singles, 10,000 metres",26.5,17.0,38.0,184.14285714285714,177.0,188.0,82.42857142857143,77.0,89.0,16
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",36.4375,20.0,60.0,170.5,168.0,173.0,,,,16
"Fencing Men's Sabre, Masters, Individual",33.285714285714285,23.0,57.0,178.0,178.0,178.0,83.0,83.0,83.0,16
Swimming Men's One Mile Freestyle,21.90909090909091,17.0,30.0,172.0,170.0,174.0,80.0,80.0,80.0,16
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",36.625,20.0,56.0,168.0,168.0,168.0,,,,15
Art Competitions Mixed Unknown Event,41.785714285714285,30.0,71.0,175.0,160.0,190.0,,,,15
Gymnastics Men's Parallel Bars,26.333333333333332,22.0,32.0,169.88888888888889,160.0,176.0,62.75,52.0,73.0,15
Diving Men's Synchronized Platform,21.933333333333334,17.0,29.0,166.86666666666667,158.0,176.0,59.86666666666667,42.0,71.0,15
"Shooting Men's Free Pistol, 50 metres, Team",42.0,32.0,55.0,,,,,,,15
"Shooting Men's Military Rifle, Any Position, 600 metres",35.857142857142854,20.0,48.0,179.0,179.0,179.0,109.0,109.0,109.0,14
"Athletics Men's 3,200 metres Steeplechase",23.818181818181817,22.0,27.0,174.2,170.0,180.0,63.4,59.0,69.0,14
"Shooting Men's Military Rifle, Prone, 300 metres, Team",37.833333333333336,29.0,45.0,175.0,175.0,175.0,,,,14
"Tennis Men's Singles, Covered Courts",30.46153846153846,21.0,44.0,188.0,188.0,188.0,84.0,84.0,84.0,14
Athletics Men's 56-pound Weight Throw,35.23076923076923,27.0,40.0,181.0,173.0,188.0,98.75,80.0,113.0,13
Cycling Men's Individual Time Trial,26.53846153846154,19.0,35.0,181.3846153846154,174.0,191.0,72.6923076923077,65.0,83.0,13
Gymnastics Men's Floor Exercise,26.53846153846154,20.0,35.0,167.41666666666666,158.0,182.0,64.0,55.0,77.0,13
"Fencing Women's Sabre, Team",26.076923076923077,19.0,36.0,170.92307692307693,165.0,183.0,61.61538461538461,55.0,74.0,13
Sailing Mixed 7 metres,36.3,20.0,55.0,,,,,,,12
Cycling Men's 100 kilometres,28.6,23.0,34.0,,,,,,,12
"Gymnastics Men's Individual All-Around, 5 Events",29.0,29.0,29.0,,,,,,,12
"Shooting Men's Dueling Pistol, 30 metres",39.833333333333336,23.0,57.0,168.0,168.0,168.0,,,,12
Jeu De Paume Men's Singles,32.45454545454545,19.0,43.0,178.5,176.0,181.0,,,,11
"Shooting Men's Military Pistol, 25 metres",32.0,25.0,39.0,,,,,,,11
Cycling Men's 1/4 mile,22.3,18.0,29.0,177.75,172.0,185.0,,,,11
Cycling Men's 20 kilometres,22.0,19.0,27.0,183.0,183.0,183.0,71.0,71.0,71.0,11
Equestrianism Mixed Hacks And Hunter Combined,42.8,29.0,56.0,,,,,,,11
Figure Skating Women's Singles,24.4,20.0,33.0,,,,,,,11
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",,,,,,,,,,11
"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",35.333333333333336,20.0,47.0,,,,,,,11
Swimming Men's Underwater Swimming,20.0,18.0,22.0,,,,,,,10
"Swimming Men's 1,000 metres Freestyle",21.666666666666668,17.0,28.0,185.0,185.0,185.0,95.0,95.0,95.0,10
Gymnastics Men's Rings,25.11111111111111,21.0,39.0,160.75,156.0,164.0,64.6,61.0,73.0,10
Cycling Women's Team Sprint,24.8,21.0,32.0,165.9,160.0,171.0,65.0,60.0,70.0,10
"Shooting Men's Running Target, Single Shot, Team",38.3,19.0,57.0,,,,,,,10
Swimming Men's 4 x 50 Yard Freestyle Relay,22.0,16.0,25.0,173.0,173.0,173.0,66.0,66.0,66.0,10
"Tennis Mixed Doubles, Covered Courts",33.1,27.0,45.0,,,,,,,10
Gymnastics Men's Pommelled Horse,25.666666666666668,20.0,31.0,170.77777777777777,167.0,178.0,65.14285714285714,60.0,70.0,10
Cycling Women's 500 metres Time Trial,26.11111111111111,21.0,34.0,169.77777777777777,163.0,178.0,67.0,58.0,80.0,9
"Croquet Mixed Singles, One Ball",34.714285714285715,15.0,58.0,,,,,,,9
"Canoeing Men's Folding Kayak Singles, 10 kilometres",25.88888888888889,19.0,36.0,,,,,,,9
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",34.0,27.0,40.0,,,,,,,8
"Weightlifting Men's Unlimited, Two Hands",23.75,21.0,26.0,164.5,159.0,170.0,72.5,70.0,75.0,8
Rowing Men's Coxed Pairs (1 mile),29.666666666666668,23.0,36.0,,,,,,,8
"Shooting Men's Military Rifle, 200 metres",31.666666666666668,21.0,40.0,,,,,,,8
"Art Competitions Mixed Music, Instrumental And Chamber",31.8,22.0,40.0,,,,,,,8
Sailing Mixed 40 metres,28.5,18.0,38.0,,,,,,,8
"Art Competitions Mixed Literature, Dramatic Works",42.2,26.0,66.0,,,,,,,8
"Athletics Men's 1,500 metres Walk",27.5,27.0,28.0,,,,,,,8
"Athletics Men's Javelin Throw, Freestyle",22.5,18.0,26.0,172.0,172.0,172.0,80.0,80.0,80.0,7
"Shooting Men's Military Rifle, Prone, 300 metres",35.857142857142854,27.0,40.0,182.5,182.0,183.0,,,,7
Motorboating Mixed A-Class (Open),35.5,27.0,46.0,181.0,181.0,181.0,77.0,77.0,77.0,7
Gymnastics Men's Horizontal Bar,27.0,22.0,33.0,163.25,160.0,167.0,59.333333333333336,52.0,71.0,7
Gymnastics Women's Floor Exercise,23.0,19.0,28.0,157.85714285714286,142.0,166.0,48.333333333333336,47.0,50.0,7
Athletics Men's All-Around Championship,27.714285714285715,24.0,34.0,180.0,175.0,185.0,84.0,78.0,90.0,7
Equestrianism Mixed Long Jump,27.0,22.0,30.0,,,,,,,6
"Shooting Men's Running Target, Double Shot",40.666666666666664,30.0,56.0,,,,,,,6
Archery Women's Double Columbia Round,48.8,24.0,63.0,,,,,,,6
Cycling Women's Keirin,24.5,20.0,28.0,162.16666666666666,155.0,165.0,62.5,60.0,65.0,6
Racquets Men's Singles,28.333333333333332,19.0,45.0,176.0,176.0,176.0,,,,6
"Art Competitions Mixed Sculpturing, Medals And Plaques",52.0,34.0,72.0,,,,,,,6
"Archery Men's Pole Archery, Small Birds, Individual",,,,,,,,,,6
"Shooting Men's Military Rifle, Prone, 600 metres",35.666666666666664,30.0,40.0,175.0,173.0,179.0,,,,6
"Archery Men's Au Cordon Dore, 50 metres",28.0,24.0,32.0,,,,,,,6
Archery Men's Unknown Event,39.0,33.0,48.0,,,,,,,6
"Shooting Men's Military Rifle, Standing, 300 metres, Team",33.333333333333336,29.0,36.0,,,,,,,6
Sailing Mixed 6.5 metres,31.0,19.0,45.0,185.0,184.0,186.0,81.0,81.0,81.0,6
Swimming Men's 50 yard Freestyle,19.666666666666668,17.0,23.0,185.0,183.0,187.0,76.5,70.0,83.0,6
"Shooting Men's Free Pistol, 30 metres",28.0,27.0,29.0,,,,,,,5
"Art Competitions Mixed Sculpturing, Reliefs",41.2,34.0,49.0,,,,,,,5
Archery Men's Continental Style,43.0,40.0,46.0,,,,,,,5
"Wrestling Men's Unlimited Class, Greco-Roman",23.333333333333332,21.0,26.0,173.5,159.0,188.0,86.0,70.0,102.0,5
"Tennis Women's Singles, Covered Courts",32.6,24.0,39.0,,,,,,,5
Athletics Men's 10 mile Walk,26.0,23.0,29.0,165.0,165.0,165.0,53.0,53.0,53.0,5
"Athletics Men's Discus Throw, Greek Style",29.0,25.0,33.0,,,,,,,5
Cycling Women's Individual Time Trial,31.6,24.0,36.0,174.0,165.0,182.0,60.0,51.0,67.0,5
Sailing Mixed 12 foot,25.0,14.0,50.0,,,,,,,5
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",24.0,24.0,24.0,,,,,,,5
"Shooting Men's Small-Bore Rifle, Standing, 50 metres",33.333333333333336,30.0,38.0,,,,,,,5
Swimming Men's 200 metres Team Swimming,,,,,,,,,,5
Motorboating Mixed B-Class (Under 60 Feet),33.6,26.0,54.0,,,,,,,5
Sailing Mixed 10-20 Ton,41.333333333333336,36.0,48.0,,,,,,,5
"Shooting Men's Military Rifle, Standing, 300 metres",38.0,24.0,52.0,,,,,,,5
Roque Men's Singles,53.333333333333336,37.0,64.0,,,,,,,4
Gymnastics Men's Club Swinging,23.0,21.0,24.0,,,,,,,4
Swimming Men's 100 Yard Backstroke,20.666666666666668,19.0,23.0,,,,,,,4
"Shooting Men's Trap, Single Shot, 16 metres",,,,,,,,,,4
"Cycling Men's 5,000 metres",21.0,21.0,21.0,,,,,,,4
"Shooting Men's Running Target, Double Shot, Team",34.75,31.0,41.0,,,,,,,4
Gymnastics Women's Horse Vault,27.0,21.0,41.0,158.5,153.0,164.0,46.5,43.0,48.0,4
Alpinism Mixed Alpinism,35.25,22.0,49.0,,,,,,,4
Sailing Mixed 20+ Ton,34.0,29.0,44.0,,,,,,,4
Athletics Men's Stone Throw,23.0,20.0,26.0,181.0,177.0,185.0,93.5,81.0,106.0,4
Swimming Women's 300 metres Freestyle,17.0,15.0,18.0,168.5,166.0,171.0,,,,4
Cycling Men's 333 metres Time Trial,25.5,23.0,28.0,,,,,,,4
Gymnastics Men's Tumbling,17.333333333333332,15.0,20.0,,,,,,,3
Sailing Mixed 30 metres,27.666666666666668,22.0,34.0,,,,,,,3
Sailing Mixed 3-10 Ton,50.5,50.0,51.0,,,,,,,3
Shooting Men's Unknown Event,45.0,45.0,45.0,,,,,,,3
"Athletics Men's 2,500 metres Steeplechase",22.0,19.0,24.0,168.0,168.0,168.0,87.0,87.0,87.0,3
"Art Competitions Mixed Music, Vocals",47.0,36.0,59.0,,,,,,,3
Athletics Men's 200 metres Hurdles,21.333333333333332,21.0,22.0,170.5,169.0,172.0,65.0,62.0,68.0,3
"Athletics Men's 3 mile, Team",20.5,18.0,23.0,172.0,172.0,172.0,61.0,61.0,61.0,3
"Archery Men's Au Chapelet, 50 metres",36.5,26.0,47.0,,,,,,,3
Swimming Men's 220 yard Freestyle,26.333333333333332,21.0,36.0,,,,,,,3
Swimming Men's 100 metres Freestyle For Sailors,,,,,,,,,,3
"Athletics Men's Discus Throw, Both Hands",26.5,21.0,32.0,181.5,173.0,190.0,84.0,80.0,88.0,3
"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",33.0,33.0,33.0,,,,,,,3
"Shooting Men's Military Rifle, Prone, 600 metres, Team",36.0,32.0,40.0,,,,,,,3
"Shooting Men's Free Rifle, Any Position, 300 metres",44.0,44.0,44.0,,,,,,,3
Archery Men's Sur La Perche a La Herse,35.5,28.0,43.0,,,,,,,3
Swimming Men's Plunge For Distance,28.666666666666668,23.0,34.0,,,,,,,3
"Shooting Men's Dueling Pistol Au Commandement, 25 metres",33.0,33.0,33.0,,,,,,,3
Swimming Men's 400 metres Breaststroke,28.0,20.0,36.0,,,,,,,3
"Archery Men's Au Chapelet, 33 metres",36.666666666666664,33.0,43.0,,,,,,,3
Swimming Men's 4 x 250 metres Freestyle Relay,29.333333333333332,19.0,46.0,,,,,,,3
Sailing Mixed 0.5-1 Ton,,,,,,,,,,3
"Athletics Men's 5,000 metres, Team",19.0,18.0,20.0,166.0,166.0,166.0,66.0,66.0,66.0,3
Cycling Men's 1/2 mile,21.5,20.0,23.0,163.0,163.0,163.0,,,,3
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",33.666666666666664,26.0,42.0,,,,,,,3
Archery Men's Sur La Perche a La Pyramide,44.0,38.0,50.0,,,,,,,2
"Archery Men's Target Archery, 28 metres, Individual",47.0,40.0,54.0,,,,,,,2
"Swimming Men's 1,200 metres Freestyle",,,,,,,,,,2
"Shooting Men's Military Revolver, 20 metres",28.0,27.0,29.0,,,,,,,2
"Athletics Men's 2,590 metres Steeplechase",25.0,24.0,26.0,187.0,187.0,187.0,83.0,83.0,83.0,2
Figure Skating Men's Special Figures,31.0,18.0,44.0,,,,,,,2
Cycling Men's 12-Hours Race,,,,,,,,,,2
Golf Men's Team,25.0,18.0,32.0,,,,,,,2
Sailing Mixed 18 foot,,,,,,,,,,2
Shooting Men's Dueling Pistol Au Vise 20 metres,,,,,,,,,,2
"Gymnastics Men's Individual All-Around, Field Sports",29.0,29.0,29.0,165.0,165.0,165.0,,,,2
Gymnastics Women's Balance Beam,26.5,21.0,32.0,157.0,155.0,159.0,46.5,45.0,48.0,2
Swimming Men's 500 metres Freestyle,20.0,20.0,20.0,,,,,,,2
Swimming Men's 880 yard Freestyle,19.5,18.0,21.0,,,,,,,2
Basque Pelota Men's Two-Man Teams With Cesta,26.0,26.0,26.0,,,,,,,2
"Shooting Men's Dueling Pistol, 30 metres, Team",43.5,39.0,48.0,,,,,,,2
Motorboating Mixed C-Class,31.0,31.0,31.0,,,,,,,2
"Shooting Men's Free Pistol, 50 yards, Team",,,,,,,,,,2
"Tennis Men's Doubles, Covered Courts",37.5,34.0,41.0,,,,,,,2
Cycling Men's 25 kilometres,21.0,18.0,24.0,,,,,,,2
"Fencing Men's Sabre, Individual, Three Hits",29.0,29.0,29.0,,,,,,,1
Weightlifting Men's All-Around Dumbbell Contest,,,,176.0,176.0,176.0,105.0,105.0,105.0,1
"Fencing Men's Single Sticks, Individual",40.0,40.0,40.0,,,,,,,1
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",21.0,21.0,21.0,,,,,,,1
"Gymnastics Men's Parallel Bars, Teams",10.0,10.0,10.0,,,,,,,1
Gymnastics Women's Uneven Bars,23.0,23.0,23.0,147.0,147.0,147.0,47.0,47.0,47.0,1
Racquets Men's Doubles,23.0,23.0,23.0,,,,,,,1
Sailing Mixed 0-0.5 Ton,34.0,34.0,34.0,,,,,,,1
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",,,,,,,,,,1
"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",35.0,35.0,35.0,,,,,,,1
"Archery Men's Target Archery, 33 metres, Individual",44.0,44.0,44.0,,,,,,,1
"Cycling Men's Team Pursuit, 1,980 yards",,,,,,,,,,1
Cycling Men's 5 mile,,,,,,,,,,1
Cycling Men's 25 mile,,,,,,,,,,1
Swimming Men's 100 yard Freestyle,23.0,23.0,23.0,,,,,,,1
"Cycling Men's 10,000 metres",,,,,,,,,,1
Swimming Men's 200 metres Obstacle Course,,,,,,,,,,1
Cycling Men's 1/3 mile,30.0,30.0,30.0,,,,,,,1
Cycling Men's 1 mile,17.0,17.0,17.0,,,,,,,1
"Croquet Mixed Singles, Two Balls",20.0,20.0,20.0,,,,,,,1
Swimming Men's 440 yard Freestyle,24.0,24.0,24.0,171.0,171.0,171.0,,,,1
Athletics Men's Standing Triple Jump,24.0,24.0,24.0,188.0,188.0,188.0,81.0,81.0,81.0,1
Athletics Men's Pentathlon (Ancient),24.0,24.0,24.0,178.0,178.0,178.0,70.0,70.0,70.0,1
"Athletics Men's Javelin Throw, Both Hands",20.0,20.0,20.0,,,,,,,1
Aeronautics Mixed Aeronautics,26.0,26.0,26.0,,,,,,,1
