Event,idade_media,idade_min,idade_max,altura_media,altura_min,altura_max,peso_media,peso_min,peso_max,total_atletas
Rowing Women's Quadruple Sculls,26.0381679389313,18.0,38.0,179.99606299212599,165.0,196.0,74.11417322834646,47.0,91.0,262
Athletics Women's Heptathlon,25.723735408560312,18.0,35.0,175.2627450980392,162.0,190.0,64.34117647058824,52.0,82.0,257
"Canoeing Men's Canadian Doubles, 1,000 metres",25.419607843137253,17.0,45.0,178.91326530612244,165.0,195.0,77.09693877551021,59.0,97.0,257
Shooting Men's Skeet,33.32411067193676,17.0,53.0,177.04048582995952,160.0,195.0,83.53061224489795,55.0,140.0,253
"Cycling Men's 1,000 metres Time Trial",23.142857142857142,15.0,40.0,178.92105263157896,157.0,201.0,77.71195652173913,54.0,102.0,249
"Canoeing Men's Canadian Doubles, 500 metres",25.558704453441294,17.0,38.0,179.73170731707316,164.0,201.0,79.66260162601625,60.0,114.0,247
Sailing Men's One Person Dinghy,28.076923076923077,18.0,46.0,184.58620689655172,163.0,200.0,86.87068965517241,70.0,115.0,247
Synchronized Swimming Women's Duet,23.170833333333334,15.0,40.0,169.02083333333334,153.0,182.0,55.52765957446808,43.0,67.0,240
Rowing Men's Lightweight Double Sculls,26.470833333333335,18.0,38.0,181.16309012875536,170.0,199.0,71.73706896551724,68.0,82.0,240
"Canoeing Men's Kayak Singles, Slalom",25.62447257383966,16.0,41.0,177.79828326180257,165.0,198.0,72.82403433476395,62.0,90.0,237
"Athletics Women's 10,000 metres",26.802575107296136,15.0,42.0,162.7173913043478,148.0,183.0,48.786026200873366,35.0,67.0,234
"Art Competitions Mixed Sculpturing, Unknown Event",46.32512315270936,22.0,81.0,173.0,173.0,173.0,76.0,76.0,76.0,233
Tennis Men's Doubles,27.763392857142858,15.0,44.0,184.25128205128206,167.0,203.0,79.32307692307693,60.0,95.0,232
Rowing Women's Double Sculls,25.489082969432314,16.0,40.0,178.1851851851852,162.0,196.0,72.1574074074074,47.0,90.0,229
Rowing Women's Coxless Pairs,25.271929824561404,18.0,36.0,179.29090909090908,155.0,195.0,73.24545454545455,58.0,91.0,228
Sailing Mixed 5.5 metres,35.36888888888889,15.0,66.0,178.24852071005918,156.0,196.0,78.47575757575757,59.0,100.0,228
"Athletics Women's 5,000 metres",25.94713656387665,14.0,38.0,163.8552036199095,150.0,183.0,49.689189189189186,36.0,69.0,227
Badminton Mixed Doubles,27.12775330396476,19.0,44.0,175.28378378378378,155.0,195.0,69.19545454545455,51.0,93.0,227
"Wrestling Men's Flyweight, Freestyle",24.259615384615383,17.0,37.0,160.66304347826087,148.0,179.0,53.63387978142077,49.0,115.0,226
"Cycling Men's Individual Pursuit, 4,000 metres",23.669642857142858,17.0,43.0,180.86111111111111,164.0,198.0,74.66279069767442,58.0,95.0,224
Sailing Mixed 8 metres,32.72906403940887,17.0,60.0,180.5,167.0,193.0,81.66666666666667,80.0,83.0,224
"Fencing Women's epee, Individual",26.9009009009009,15.0,50.0,173.33333333333334,157.0,192.0,63.19953051643193,50.0,80.0,222
"Canoeing Men's Canadian Doubles, Slalom",26.30316742081448,16.0,43.0,176.53636363636363,159.0,190.0,72.47272727272727,58.0,85.0,221
"Wrestling Men's Flyweight, Greco-Roman",24.89855072463768,18.0,37.0,160.1153846153846,137.0,180.0,53.416666666666664,48.0,60.0,219
Badminton Men's Doubles,26.972093023255812,20.0,38.0,179.04694835680752,160.0,201.0,74.56904761904762,57.0,96.0,215
"Canoeing Men's Kayak Singles, 500 metres",25.300469483568076,17.0,42.0,183.63033175355451,167.0,196.0,83.25,60.0,96.0,214
Rowing Women's Lightweight Double Sculls,26.342723004694836,18.0,39.0,171.0,157.0,182.0,58.44660194174757,54.0,75.0,213
"Canoeing Women's Kayak Fours, 500 metres",24.502347417840376,16.0,37.0,171.11557788944722,155.0,184.0,66.66834170854271,54.0,99.0,213
Rowing Women's Single Sculls,26.235849056603772,17.0,44.0,176.47826086956522,160.0,188.0,70.93719806763285,57.0,87.0,212
Sailing Women's One Person Dinghy,24.85238095238095,17.0,38.0,170.23039215686273,154.0,184.0,65.34158415841584,50.0,79.0,210
"Shooting Mixed Rapid-Fire Pistol, 25 metres",33.87378640776699,19.0,51.0,174.66990291262135,152.0,193.0,75.72682926829269,50.0,95.0,206
"Fencing Women's Foil, Team",25.44878048780488,17.0,51.0,167.23076923076923,152.0,187.0,59.46666666666667,46.0,82.0,205
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",34.41624365482234,16.0,70.0,173.85051546391753,158.0,197.0,73.70466321243524,49.0,120.0,198
Weightlifting Men's Super-Heavyweight,26.683673469387756,17.0,40.0,184.45901639344262,168.0,205.0,135.40862944162436,105.0,176.5,197
Athletics Women's Hammer Throw,25.427835051546392,17.0,39.0,174.98958333333334,163.0,193.0,85.47916666666667,63.0,120.0,194
"Wrestling Men's Super-Heavyweight, Greco-Roman",26.827225130890053,18.0,40.0,188.83510638297872,175.0,203.0,122.20320855614973,96.0,190.0,192
Badminton Women's Doubles,24.884816753926703,18.0,40.0,167.8187134502924,155.0,184.0,62.24848484848485,47.0,90.0,191
Swimming Men's 200 metres Individual Medley,22.21578947368421,16.0,38.0,184.40641711229947,170.0,201.0,77.86559139784946,62.0,94.0,190
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",31.51063829787234,18.0,56.0,174.4095744680851,147.0,191.0,72.96808510638297,41.0,103.0,189
"Shooting Mixed Free Pistol, 50 metres",34.51086956521739,17.0,66.0,172.69945355191257,154.0,198.0,73.93406593406593,48.0,102.0,187
Sailing Women's Windsurfer,27.5,17.0,42.0,168.55428571428573,156.0,188.0,58.809248554913296,48.0,70.0,184
